ID	Assessment	Class	Group_Number	Group	Subgroup	Scope	Severity	Irreversibility	Criticality_20_years_ago	Overall_criticality	Trend_of_change_(of_current_criticality)	Criticality_in_the_next_20_years	Systemic_activity_(level_of_activity)	Systemic_activity_(no._of_influenced_elements)	Systemic_Activity	Strategic_Relevance_(Value)	Strategic_Relevance_(Rank)	Manageability	Knowledge	Rank	Region	Climate	Human_Development_Index
37	CN-JIU	Factor	7	Natural_resource-use_related_factors	NA	3	3	3	3	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
38	CN-JIU	Factor	9	Socio-economic_factors	NA	1	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
39	CN-JIU	Factor	9	Socio-economic_factors	NA	3	3	3	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
40	CN-JIU	Factor	6	Natural_factors	NA	2	2	2	1	2	3	3	NA	NA	NA	NA	NA	NA	NA	NA	World	Subtropics	High
41	CR-MAN	Factor	5	Institutional_factors	NA	NA	NA	NA	NA	NA	NA	NA	1	4	3	3	1	1	NA	12	LatAm	Tropics	High
42	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	NA	NA	NA	3	4	4	4	1	1	NA	11	LatAm	Tropics	High
43	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	NA	NA	4	1	4	3	7	1	1	1	10	LatAm	Tropics	High
44	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	3	3	3	4	3	1	1	1	2	2	7	1	1	1	10	LatAm	Tropics	High
45	CR-MAN	Factor	2	Governance-related_factors	NA	4	3	2	1	3	1	1	1	4	3	8	2	2	3	9	LatAm	Tropics	High
46	CR-MAN	Factor	2	Governance-related_factors	NA	4	3	2	1	3	1	1	1	4	3	8	2	2	3	9	LatAm	Tropics	High
47	CR-MAN	Factor	2	Governance-related_factors	NA	3	3	2	1	3	1	1	1	4	3	8	2	2	3	9	LatAm	Tropics	High
48	CR-MAN	Factor	2	Governance-related_factors	NA	4	3	2	1	3	1	1	1	4	3	8	2	2	3	9	LatAm	Tropics	High
49	CR-MAN	Factor	2	Governance-related_factors	NA	4	4	2	1	3	1	1	1	4	3	8	2	2	3	9	LatAm	Tropics	High
50	CR-MAN	Factor	2	Governance-related_factors	NA	4	4	2	1	3	1	1	1	4	3	8	2	2	1	9	LatAm	Tropics	High
51	CR-MAN	Factor	5	Institutional_factors	NA	3	4	2	1	3	1	1	1	4	3	8	2	2	3	9	LatAm	Tropics	High
52	CR-MAN	Factor	5	Institutional_factors	NA	2	2	2	4	2	2	1	1	4	3	8	2	2	1	9	LatAm	Tropics	High
53	CR-MAN	Factor	5	Institutional_factors	NA	4	4	3	4	1	3	2	1	4	3	9	2	2	1	8	LatAm	Tropics	High
54	CR-MAN	Factor	2	Governance-related_factors	NA	4	4	2	1	3	1	1	3	4	4	9	2	2	3	8	LatAm	Tropics	High
55	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	3	4	4	4	4	2	1	1	2	2	9	2	2	1	8	LatAm	Tropics	High
56	CR-MAN	Factor	2	Governance-related_factors	NA	4	4	4	1	4	1	1	4	4	4	10	2	2	3	7	LatAm	Tropics	High
57	CR-MAN	Factor	5	Institutional_factors	NA	3	3	1	3	2	2	3	1	4	3	10	2	2	1	7	LatAm	Tropics	High
58	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	3	3	3	4	3	2	2	1	4	3	10	2	2	1	7	LatAm	Tropics	High
59	CR-MAN	Factor	2	Governance-related_factors	NA	2	3	3	4	3	3	1	4	4	4	11	3	3	1	6	LatAm	Tropics	High
60	CR-MAN	Factor	5	Institutional_factors	NA	3	3	3	3	4	2	1	4	4	4	11	3	3	1	6	LatAm	Tropics	High
61	CR-MAN	Factor	4	Infrastructure-related_factors	NA	3	4	3	4	4	2	1	3	4	4	11	3	3	1	6	LatAm	Tropics	High
62	CR-MAN	Factor	9	Socio-economic_factors	NA	3	2	2	3	3	2	2	4	3	4	11	3	3	2	6	LatAm	Tropics	High
63	CR-MAN	Factor	9	Socio-economic_factors	NA	1	1	1	1	1	3	4	1	4	3	11	3	3	1	6	LatAm	Tropics	High
64	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	3	3	4	4	4	2	1	3	4	4	11	3	3	3	6	LatAm	Tropics	High
65	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	3	3	3	1	3	2	2	3	4	4	11	3	3	3	6	LatAm	Tropics	High
66	CR-MAN	Factor	2	Governance-related_factors	NA	3	4	3	2	4	3	1	4	4	4	12	3	3	3	5	LatAm	Tropics	High
67	CR-MAN	Factor	2	Governance-related_factors	NA	4	4	2	4	3	4	1	4	4	4	12	3	3	1	5	LatAm	Tropics	High
68	CR-MAN	Factor	5	Institutional_factors	NA	4	4	3	4	1	3	4	3	4	4	12	3	3	2	5	LatAm	Tropics	High
69	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	4	4	3	4	4	3	1	3	4	4	12	3	3	1	5	LatAm	Tropics	High
70	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	2	4	2	2	3	2	4	1	4	3	12	3	3	1	5	LatAm	Tropics	High
71	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	3	3	3	4	3	2	4	1	4	3	12	3	3	3	5	LatAm	Tropics	High
72	CR-MAN	Factor	9	Socio-economic_factors	NA	1	1	1	1	1	3	4	4	3	4	12	3	3	1	5	LatAm	Tropics	High
73	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	2	4	3	1	3	3	3	1	4	3	12	3	3	1	5	LatAm	Tropics	High
74	CR-MAN	Factor	6	Natural_factors	NA	4	4	4	2	4	2	3	4	4	4	13	3	3	1	4	LatAm	Tropics	High
75	CR-MAN	Factor	5	Institutional_factors	NA	3	3	2	3	4	3	2	3	4	4	13	3	3	2	4	LatAm	Tropics	High
76	CR-MAN	Factor	5	Institutional_factors	NA	4	4	3	4	2	3	4	3	4	4	13	3	3	1	4	LatAm	Tropics	High
77	CR-MAN	Factor	4	Infrastructure-related_factors	NA	3	3	3	4	3	3	3	3	4	4	13	3	3	3	4	LatAm	Tropics	High
78	CR-MAN	Factor	2	Governance-related_factors	NA	4	4	2	NA	3	3	4	1	4	3	13	3	3	3	4	LatAm	Tropics	High
79	CR-MAN	Factor	2	Governance-related_factors	NA	4	4	2	4	3	4	3	1	4	3	13	3	3	3	4	LatAm	Tropics	High
80	CR-MAN	Factor	8	Socio-cultural_factors	NA	3	3	2	1	3	3	4	1	4	3	13	3	3	1	4	LatAm	Tropics	High
81	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	2	4	3	1	3	3	4	1	4	3	13	3	3	1	4	LatAm	Tropics	High
82	CR-MAN	Factor	6	Natural_factors	NA	4	4	4	2	4	2	3	4	1	4	13	3	4	1	4	LatAm	Tropics	High
83	CR-MAN	Factor	6	Natural_factors	NA	2	4	4	1	4	3	4	1	4	3	14	4	4	3	3	LatAm	Tropics	High
84	CR-MAN	Factor	1	Demographic_factors	NA	3	3	3	1	3	3	4	3	4	4	14	4	4	3	3	LatAm	Tropics	High
85	CR-MAN	Factor	9	Socio-economic_factors	NA	3	3	3	4	3	4	3	3	4	4	14	4	4	3	3	LatAm	Tropics	High
86	CR-MAN	Factor	10	Spatial_factors	NA	3	3	4	1	4	3	4	1	4	3	14	4	4	3	3	LatAm	Tropics	High
87	CR-MAN	Factor	9	Socio-economic_factors	NA	3	3	3	1	3	3	4	4	4	4	14	4	4	4	3	LatAm	Tropics	High
88	CR-MAN	Factor	8	Socio-cultural_factors	NA	4	4	2	1	3	3	4	3	4	4	14	4	4	4	3	LatAm	Tropics	High
89	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	3	3	3	1	3	3	4	3	4	4	14	4	4	1	3	LatAm	Tropics	High
90	CR-MAN	Factor	2	Governance-related_factors	NA	4	3	4	1	4	3	4	4	4	4	15	4	4	1	2	LatAm	Tropics	High
91	CR-MAN	Factor	2	Governance-related_factors	NA	4	4	4	1	4	3	4	3	4	4	15	4	4	3	2	LatAm	Tropics	High
92	CR-MAN	Factor	9	Socio-economic_factors	NA	4	4	4	2	4	3	4	3	4	4	15	4	4	4	2	LatAm	Tropics	High
93	CR-MAN	Factor	9	Socio-economic_factors	NA	4	4	4	2	4	3	4	4	4	4	15	4	4	4	2	LatAm	Tropics	High
94	CR-MAN	Factor	6	Natural_factors	NA	4	4	4	2	4	3	4	4	4	4	15	4	4	4	2	LatAm	Tropics	High
95	CR-MAN	Factor	7	Natural_resource-use_related_factors	NA	3	3	4	1	4	3	4	3	4	4	15	4	4	1	2	LatAm	Tropics	High
96	CR-MAN	Factor	5	Institutional_factors	NA	4	4	3	4	4	4	4	3	4	4	16	4	4	1	1	LatAm	Tropics	High
97	CR-CAH	Factor	7	Natural_resource-use_related_factors	NA	1	4	2	3	3	2	1	2	2	2	8	2	1	1	6	LatAm	Tropics	High
98	CR-CAH	Factor	4	Infrastructure-related_factors	NA	4	3	2	3	3	3	2	2	2	2	10	2	2	2	5	LatAm	Tropics	High
99	CR-CAH	Factor	4	Infrastructure-related_factors	NA	3	3	4	4	4	3	1	2	2	2	10	2	1	1	5	LatAm	Tropics	High
100	CR-CAH	Factor	8	Socio-cultural_factors	NA	4	4	2	4	3	3	2	3	3	3	11	3	2	3	4	LatAm	Tropics	High
101	CR-CAH	Factor	2	Governance-related_factors	NA	4	3	1	4	3	3	1	4	3	4	11	3	3	1	4	LatAm	Tropics	High
102	CR-CAH	Factor	2	Governance-related_factors	NA	4	3	1	4	3	3	1	4	3	4	11	3	3	1	4	LatAm	Tropics	High
103	CR-CAH	Factor	4	Infrastructure-related_factors	NA	1	3	2	2	2	3	3	3	2	3	11	3	2	1	4	LatAm	Tropics	High
104	CR-CAH	Factor	7	Natural_resource-use_related_factors	NA	3	3	3	3	3	3	3	2	2	2	11	3	3	3	4	LatAm	Tropics	High
105	CR-CAH	Factor	7	Natural_resource-use_related_factors	NA	2	4	2	4	3	4	2	3	2	3	12	3	2	2	3	LatAm	Tropics	High
106	CR-CAH	Factor	9	Socio-economic_factors	NA	2	2	1	2	2	2	4	4	3	4	12	3	2	2	3	LatAm	Tropics	High
107	CR-CAH	Factor	5	Institutional_factors	NA	4	4	3	4	4	3	1	4	3	4	12	3	1	1	3	LatAm	Tropics	High
108	CR-CAH	Factor	7	Natural_resource-use_related_factors	NA	3	4	4	3	4	3	3	2	2	2	12	3	2	1	3	LatAm	Tropics	High
109	CR-CAH	Factor	9	Socio-economic_factors	NA	3	3	3	3	3	3	4	3	3	3	13	3	3	3	2	LatAm	Tropics	High
110	CR-CAH	Factor	7	Natural_resource-use_related_factors	NA	4	3	4	4	4	4	3	3	2	3	14	4	3	3	1	LatAm	Tropics	High
111	CR-CAH	Factor	7	Natural_resource-use_related_factors	NA	3	4	3	4	4	4	3	3	2	3	14	4	2	2	1	LatAm	Tropics	High
112	CR-CAH	Factor	7	Natural_resource-use_related_factors	NA	2	4	4	4	4	4	3	3	2	3	14	4	3	2	1	LatAm	Tropics	High
113	CR-CAH	Factor	6	Natural_factors	NA	4	4	4	2	4	2	4	4	4	4	14	4	4	1	1	LatAm	Tropics	High
114	CR-CAH	Factor	6	Natural_factors	NA	4	4	4	2	4	2	4	4	4	4	14	4	4	1	1	LatAm	Tropics	High
115	GT-LAC	Factor	8	Socio-cultural_factors	NA	3	4	4	3	4	3	2	NA	NA	1	10	2	3	1	6	LatAm	Tropics	Medium
116	GT-LAC	Factor	9	Socio-economic_factors	NA	3	4	4	2	4	2	3	NA	NA	1	10	2	3	1	6	LatAm	Tropics	Medium
117	GT-LAC	Factor	2	Governance-related_factors	NA	4	3	2	4	3	3	2	NA	NA	1	9	2	4	1	7	LatAm	Tropics	Medium
118	GT-LAC	Factor	6	Natural_factors	NA	3	3	4	1	4	2	3	NA	NA	1	10	2	4	1	6	LatAm	Tropics	Medium
119	GT-LAC	Factor	2	Governance-related_factors	NA	2	3	4	2	4	3	2	NA	NA	1	10	2	4	2	6	LatAm	Tropics	Medium
120	GT-LAC	Factor	8	Socio-cultural_factors	NA	3	3	3	3	3	1	2	NA	NA	1	7	1	1	1	9	LatAm	Tropics	Medium
121	GT-LAC	Factor	8	Socio-cultural_factors	NA	3	4	2	3	3	2	2	NA	NA	3	10	2	4	2	6	LatAm	Tropics	Medium
122	GT-LAC	Factor	9	Socio-economic_factors	NA	3	4	2	3	3	2	2	NA	NA	3	10	2	4	2	6	LatAm	Tropics	Medium
123	GT-LAC	Factor	2	Governance-related_factors	NA	2	3	2	2	3	3	2	NA	NA	1	9	2	2	1	7	LatAm	Tropics	Medium
124	GT-LAC	Factor	8	Socio-cultural_factors	NA	3	3	2	4	3	3	2	NA	NA	1	9	2	1	1	7	LatAm	Tropics	Medium
125	GT-LAC	Factor	8	Socio-cultural_factors	NA	3	3	2	3	2	3	2	NA	NA	1	8	2	3	2	8	LatAm	Tropics	Medium
126	GT-LAC	Factor	9	Socio-economic_factors	NA	3	3	2	4	3	3	3	NA	NA	1	10	2	3	1	6	LatAm	Tropics	Medium
127	GT-LAC	Factor	5	Institutional_factors	NA	4	4	3	4	4	4	3	NA	NA	2	13	3	3	3	3	LatAm	Tropics	Medium
128	GT-LAC	Factor	5	Institutional_factors	NA	3	3	2	4	3	4	3	NA	NA	2	12	3	1	3	4	LatAm	Tropics	Medium
129	GT-LAC	Factor	5	Institutional_factors	NA	4	3	2	3	3	3	2	NA	NA	1	9	2	1	3	7	LatAm	Tropics	Medium
130	GT-LAC	Factor	5	Institutional_factors	NA	3	3	2	3	3	3	2	NA	NA	1	9	2	1	3	7	LatAm	Tropics	Medium
131	GT-LAC	Factor	5	Institutional_factors	NA	4	4	1	2	3	3	3	NA	NA	1	10	2	1	3	6	LatAm	Tropics	Medium
132	GT-LAC	Factor	5	Institutional_factors	NA	3	3	2	2	3	3	3	NA	NA	1	10	2	3	3	6	LatAm	Tropics	Medium
133	GT-LAC	Factor	10	Spatial_factors	NA	2	2	3	1	3	3	3	NA	NA	1	10	2	1	3	6	LatAm	Tropics	Medium
134	GT-LAC	Factor	8	Socio-cultural_factors	NA	3	3	2	4	3	3	2	NA	NA	1	9	2	2	2	7	LatAm	Tropics	Medium
135	GT-LAC	Factor	9	Socio-economic_factors	NA	4	3	2	4	3	3	3	NA	NA	1	10	2	3	2	6	LatAm	Tropics	Medium
136	GT-LAC	Factor	9	Socio-economic_factors	NA	3	3	2	2	3	3	2	NA	NA	1	9	2	3	3	7	LatAm	Tropics	Medium
137	GT-LAC	Factor	1	Demographic_factors	NA	3	4	3	1	4	2	4	NA	NA	3	13	3	4	3	3	LatAm	Tropics	Medium
138	GT-LAC	Factor	1	Demographic_factors	NA	3	4	3	1	4	2	2	NA	NA	1	9	2	4	2	7	LatAm	Tropics	Medium
139	GT-LAC	Factor	2	Governance-related_factors	NA	3	4	3	NA	4	NA	NA	NA	NA	1	5	1	4	3	10	LatAm	Tropics	Medium
140	GT-LAC	Factor	2	Governance-related_factors	NA	2	3	1	3	2	2	3	NA	NA	1	8	2	1	3	8	LatAm	Tropics	Medium
141	GT-LAC	Factor	2	Governance-related_factors	NA	2	3	3	3	3	3	4	NA	NA	1	11	3	3	2	5	LatAm	Tropics	Medium
142	GT-LAC	Factor	2	Governance-related_factors	NA	2	3	3	1	3	3	4	NA	NA	1	11	3	4	3	5	LatAm	Tropics	Medium
143	GT-LAC	Factor	5	Institutional_factors	NA	3	3	2	2	3	3	3	NA	NA	1	10	2	3	1	6	LatAm	Tropics	Medium
144	GT-LAC	Factor	5	Institutional_factors	NA	2	3	2	2	3	3	2	NA	NA	1	9	2	3	1	7	LatAm	Tropics	Medium
145	GT-LAC	Factor	5	Institutional_factors	NA	4	4	3	3	4	3	2	NA	NA	1	10	2	1	3	6	LatAm	Tropics	Medium
146	GT-LAC	Factor	8	Socio-cultural_factors	NA	2	4	3	3	3	3	2	NA	NA	1	9	2	2	1	7	LatAm	Tropics	Medium
147	GT-LAC	Factor	9	Socio-economic_factors	NA	2	3	2	2	3	3	3	NA	NA	1	10	2	2	2	6	LatAm	Tropics	Medium
148	GT-LAC	Factor	8	Socio-cultural_factors	NA	1	2	2	3	2	2	2	NA	NA	1	7	1	3	1	9	LatAm	Tropics	Medium
149	GT-LAC	Factor	1	Demographic_factors	NA	4	4	2	3	3	2	3	NA	NA	1	9	2	3	2	7	LatAm	Tropics	Medium
150	GT-LAC	Factor	1	Demographic_factors	NA	3	3	4	2	4	3	3	NA	NA	1	11	3	3	1	5	LatAm	Tropics	Medium
151	GT-LAC	Factor	2	Governance-related_factors	NA	2	3	2	2	3	3	3	NA	NA	1	10	2	3	3	6	LatAm	Tropics	Medium
152	GT-LAC	Factor	2	Governance-related_factors	NA	2	2	2	2	2	3	3	NA	NA	1	9	2	3	3	7	LatAm	Tropics	Medium
153	GT-LAC	Factor	2	Governance-related_factors	NA	4	3	3	2	4	2	2	NA	NA	3	11	3	3	2	5	LatAm	Tropics	Medium
154	GT-LAC	Factor	2	Governance-related_factors	NA	2	3	2	3	3	3	2	NA	NA	3	11	3	3	1	5	LatAm	Tropics	Medium
155	GT-LAC	Factor	2	Governance-related_factors	NA	2	3	2	3	3	3	2	NA	NA	1	9	2	3	1	7	LatAm	Tropics	Medium
156	GT-LAC	Factor	9	Socio-economic_factors	NA	3	4	3	1	4	3	3	NA	NA	1	11	3	3	2	5	LatAm	Tropics	Medium
157	GT-LAC	Factor	9	Socio-economic_factors	NA	3	4	3	2	4	3	4	NA	NA	3	14	4	3	2	2	LatAm	Tropics	Medium
158	GT-LAC	Factor	9	Socio-economic_factors	NA	3	4	3	2	4	3	4	NA	NA	3	14	4	1	2	2	LatAm	Tropics	Medium
159	GT-LAC	Factor	7	Natural_resource-use_related_factors	NA	3	3	3	2	3	3	4	NA	NA	3	13	3	4	3	3	LatAm	Tropics	Medium
160	GT-LAC	Factor	6	Natural_factors	NA	3	4	4	3	4	2	2	NA	NA	1	9	2	4	1	7	LatAm	Tropics	Medium
161	GT-LAC	Factor	6	Natural_factors	NA	3	4	4	3	4	4	4	NA	NA	3	15	4	4	3	1	LatAm	Tropics	Medium
162	GT-LAC	Factor	8	Socio-cultural_factors	NA	3	4	3	NA	4	NA	NA	NA	NA	1	5	1	4	3	10	LatAm	Tropics	Medium
163	GT-LAC	Factor	8	Socio-cultural_factors	NA	3	4	3	NA	4	NA	NA	NA	NA	1	5	1	4	3	10	LatAm	Tropics	Medium
164	GT-LAC	Factor	2	Governance-related_factors	NA	3	3	2	1	3	3	1	NA	NA	3	10	2	4	1	6	LatAm	Tropics	Medium
165	GT-LAC	Factor	2	Governance-related_factors	NA	4	4	3	2	4	3	3	NA	NA	3	13	3	4	1	3	LatAm	Tropics	Medium
166	GT-LAC	Factor	2	Governance-related_factors	NA	2	3	3	2	3	3	3	NA	NA	1	10	2	3	3	6	LatAm	Tropics	Medium
167	GT-LAC	Factor	7	Natural_resource-use_related_factors	NA	4	3	4	2	4	3	4	NA	NA	3	14	4	4	3	2	LatAm	Tropics	Medium
168	GT-LAC	Factor	7	Natural_resource-use_related_factors	NA	3	4	3	NA	4	NA	NA	NA	NA	1	5	1	4	3	10	LatAm	Tropics	Medium
169	GT-LAC	Factor	7	Natural_resource-use_related_factors	NA	4	4	4	1	4	3	3	NA	NA	3	13	3	3	1	3	LatAm	Tropics	Medium
170	GT-LAC	Factor	7	Natural_resource-use_related_factors	NA	3	4	3	3	4	3	4	NA	NA	3	14	4	3	1	2	LatAm	Tropics	Medium
171	GT-LAC	Factor	7	Natural_resource-use_related_factors	NA	3	4	3	2	4	3	4	NA	NA	3	14	4	3	1	2	LatAm	Tropics	Medium
172	GT-LAC	Factor	7	Natural_resource-use_related_factors	NA	3	3	3	3	3	3	4	NA	NA	1	11	3	3	2	5	LatAm	Tropics	Medium
173	GT-LAC	Factor	7	Natural_resource-use_related_factors	NA	3	4	3	3	4	3	4	NA	NA	1	12	3	3	2	4	LatAm	Tropics	Medium
174	GT-LAC	Factor	8	Socio-cultural_factors	NA	2	3	2	2	3	3	3	NA	NA	3	12	3	3	3	4	LatAm	Tropics	Medium
175	GT-LAC	Factor	8	Socio-cultural_factors	NA	2	2	3	2	3	3	4	NA	NA	3	13	3	3	1	3	LatAm	Tropics	Medium
176	GT-LAC	Factor	2	Governance-related_factors	NA	3	2	2	2	3	3	4	NA	NA	1	11	3	4	1	5	LatAm	Tropics	Medium
177	PE-RCS	Factor	6	Natural_factors	NA	4	2	4	NA	4	3	4	NA	NA	4	15	4	4	4	1	Amazon	Tropics	High
178	PE-RCS	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amazon	Tropics	High
179	PE-RCS	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	1	3	3	NA	NA	2	9	2	4	2	7	Amazon	Tropics	High
180	PE-RCS	Factor	9	Socio-economic_factors	NA	NA	NA	NA	NA	1	3	3	NA	NA	2	9	2	4	2	7	Amazon	Tropics	High
181	PE-RCS	Factor	9	Socio-economic_factors	NA	NA	NA	NA	NA	1	3	4	NA	NA	2	10	2	4	2	6	Amazon	Tropics	High
182	PE-RCS	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	2	3	4	NA	NA	2	11	3	4	3	5	Amazon	Tropics	High
183	PE-RCS	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	2	3	4	NA	NA	2	11	3	4	3	5	Amazon	Tropics	High
184	PE-RCS	Factor	7	Natural_resource-use_related_factors	NA	NA	NA	NA	NA	2	3	4	NA	NA	2	11	3	4	3	5	Amazon	Tropics	High
