ID	Assessment	Class	IUCN_Group_Number	IUCN_Group	IUCN_Subgroup		Name	Scope	Severity	Irreversibility	Past_criticality	Current_criticality	Trend_of_change	Future_criticality	Systemic_activity_(level_of_activity)	Systemic_activity_(no._of_influenced_elements)	Systemic_Activity	Strategic_relevance_(value)	Strategic_relevance_(Rank)	Manageability	Knowledge	Rank	Region	Climate	Human_Development_Index
103	DE-LRP	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Changes_in_hydro_morphology	2	2	2	3	2	1	2	NA	NA	NA	5	1	1	1	6	World	Temperate	Very
104	DE-LRP	Stress	1.3	Indirect_ecosystem_effect	1.3.1	Climatic_changes	Thermic_stress_(trees)	4	2	3	1	3	3	4	NA	NA	NA	10	3	3	3	1	World	Temperate	Very
105	DE-LRP	Stress	2.2	Species_disturbance	2.2.1	Physiology_and_behaviour	Disturbance_and_killing_of_birds_and_bats	1	1	4	1	3	3	4	NA	NA	NA	10	3	1	3	1	World	Temperate	Very
106	DE-LRP	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Groundwater_level_decline	3	3	2	1	3	1	4	NA	NA	NA	8	2	3	2	3	World	Temperate	Very
107	DE-LRP	Stress	1.3	Indirect_ecosystem_effect	1.3.1	Climatic_changes	Impairment_of_the_forest_microclimate	4	3	2	1	3	3	4	NA	NA	NA	10	3	3	2	1	World	Temperate	Very
108	DE-LRP	Stress	1.1	Ecosystem_conversion	1.1.2	Change_of_structure	Reduced_structural_and_species_diversity_	4	3	4	1	4	2	3	NA	NA	NA	9	3	3	3	2	World	Temperate	Very
109	DE-LRP	Stress	1.3	Indirect_ecosystem_effect	1.3.5	Succession_and_regeneration	Reduced_regeneration_(of_broad_leaf_forest_due_to_herbivory)	4	3	1	2	3	3	3	NA	NA	NA	9	3	3	2	2	World	Temperate	Very
110	DE-LRP	Stress	1.1	Ecosystem_conversion	1.1.2	Change_of_structure	Simplification_of_habitats_and_structural_complexity_	3	3	2	1	3	2	3	NA	NA	NA	8	2	3	2	3	World	Temperate	Very
111	DE-LRP	Stress	1.2	Ecosystem_degradation	1.2.3	Soil_conditions	Mineralization,_sagging,_subsidence_of_the_terrain_of_peat_soils	4	4	3	3	4	2	4	NA	NA	NA	10	3	2.5	1	1	World	Temperate	Very
112	DE-LRP	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Low_groundwater_formation_rate	3	4	2	4	3	2	4	NA	NA	NA	9	3	2	1	2	World	Temperate	Very
113	DE-LRP	Stress	1.3	Indirect_ecosystem_effect	1.3.4	Fragmentation	Fragmentation_of_open_freshwater_sources	1	2	2	3	2	1	2	NA	NA	NA	5	1	1	1	6	World	Temperate	Very
114	DE-LRP	Stress	1.3	Indirect_ecosystem_effect	1.3.4	Fragmentation	Fragmentation_of_forests	3	2	4	2	3	3	4	NA	NA	NA	10	3	2	3	1	World	Temperate	Very
115	DE-LRP	Stress	1.1	Ecosystem_conversion	1.1.1	Loss_of_habitat	Decrease_of_mire_area	4	4	4	4	4	1	3	NA	NA	NA	8	2	2	1	3	World	Temperate	Very
116	DE-LRP	Stress	1.1	Ecosystem_conversion	1.1.1	Loss_of_habitat	Decrease_of_forest_area	1	4	3	1	3	3	4	NA	NA	NA	10	3	2	2	1	World	Temperate	Very
117	DE-LRP	Stress	1.1	Ecosystem_conversion	1.1.1	Loss_of_habitat	Loss_of_habitats_(wetlands)	1	4	4	2	3	2	3	NA	NA	NA	8	2	1	1	3	World	Temperate	Very
118	DE-LRP	Stress	2.3	Indirect_species_effect	2.3.1	Synecological_interactions	Lack_of_habitat_(for_predators_of_insect_pest_species)	4	3	4	2	4	2	3	NA	NA	NA	9	3	3	3	2	World	Temperate	Very
119	DE-LRP	Stress	1.2	Ecosystem_degradation	1.2.3	Soil_conditions	Eutrophication_	3	2	3	3	3	2	3	NA	NA	NA	8	2	3	2	3	World	Temperate	Very
120	DE-LRP	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Eutrophication_(Open_water_sources)	2	2	3	2	3	3	3	NA	NA	NA	9	3	3	2	2	World	Temperate	Very
121	DE-LRP	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Eutrophication_(Mires)	4	2.5	3.5	3	4	2	4	NA	NA	NA	10	3	3	2	1	World	Temperate	Very
122	DE-LRP	Stress	2.2	Species_disturbance	2.2.2	Population_dynamics	Alteration_of_aging_and_withering_cycles_(less_old_and_dead_wood)	4	3	4	2	4	2	3	NA	NA	NA	9	3	3	2	2	World	Temperate	Very
123	DE-LRP	Stress	2.1	Species_mortality	2.1.1	Loss_of_biodiversity	Reduced_species_diversity_(on_agricultural_areas)	3	3	2	1	3	2	3	NA	NA	NA	8	2	4	2	3	World	Temperate	Very
124	DE-LRP	Stress	2.2	Species_disturbance	2.2.1	Physiology_and_behaviour	Devitalisation_&_dieback_of_trees_by_pathogens_&_insect_infestations	3	2	4	1	3	3	4	NA	NA	NA	10	3	4	4	1	World	Temperate	Very
125	DE-AUE	Stress	1.1	Ecosystem_conversion	1.1.2	Change_of_structure	Excessive_tree_density	2	3	1	2	2	2	1	NA	NA	NA	5	1	1	2	6	World	Temperate	Very
126	DE-AUE	Stress	1.2	Ecosystem_degradation	1.2.2	Freshwater_hydrological_regimes	Lowered_water_table	2	2	1	3	2	1	2	NA	NA	NA	5	1	2	2	6	World	Temperate	Very
127	DE-AUE	Stress	2.3	Indirect_species_effect	2.3.2	Community_composition	Lack_of_food_resources_(insects)	NA	NA	NA	3	2	2	2	NA	NA	NA	6	1	1	2	5	World	Temperate	Very
